departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro,Direccion2,Full Address,Coords
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,GASOLINA CORRIENTE OXIGENADA,"8,060",1,2017-01-04,CARRERA 1 No. 6A-60,"CARRERA 1 No. 6A-60,CHIA,Colombia","(4.864758, -74.05091800000001)"
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,BIODIESEL EXTRA,"7,600",1,2017-01-04,CARRERA 1 No. 6A-60,"CARRERA 1 No. 6A-60,CHIA,Colombia","(4.864758, -74.05091800000001)"
25,CUNDINAMARCA,25175,CHIA,COMERCIAL SANTA INES LIMITADA EN LIQUIDACION,TERPEL,CARRERA 1 No. 6A-60,GASOLINA EXTRA OXIGENADA,"10,000",1,2017-01-04,CARRERA 1 No. 6A-60,"CARRERA 1 No. 6A-60,CHIA,Colombia","(4.864758, -74.05091800000001)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO EL SUR BOCAS DEL TELEMBI,TERPEL,BOCAS DE TELEMBI DE ROBERTO PAYAN,GASOLINA CORRIENTE OXIGENADA,"6,690",1,2017-01-04,BOCAS DE TELEMBI DE ROBERTO PAYAN,"BOCAS DE TELEMBI DE ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(1.8270374, -78.2687713)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO LOS ROSALES,BIOMAX,VEREDA PATIA DE ROBERTO PAYAN,GASOLINA CORRIENTE OXIGENADA,"9,270",1,2017-10-11,VEREDA PATIA DE ROBERTO PAYAN,"VEREDA PATIA DE ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(2.175267333773093, -77.87900286746259)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO LOS ROSALES,BIOMAX,VEREDA PATIA DE ROBERTO PAYAN,BIODIESEL EXTRA,"8,730",1,2017-10-11,VEREDA PATIA DE ROBERTO PAYAN,"VEREDA PATIA DE ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(2.175267333773093, -77.87900286746259)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICO LOS HERMANOS,TEXACO,BARRIO CUATA,BIODIESEL EXTRA,"6,700",1,2017-10-02,BARRIO CUATA,"BARRIO CUATA,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICO LOS HERMANOS,TEXACO,BARRIO CUATA,GASOLINA CORRIENTE OXIGENADA,"6,800",1,2017-10-02,BARRIO CUATA,"BARRIO CUATA,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO FLUVIAL COMBUSTIBLES SURTIMAX,TERPEL,DESEMBOCADURA DEL RIO SAHUNDE,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-06,DESEMBOCADURA DEL RIO SAHUNDE,"DESEMBOCADURA DEL RIO SAHUNDE,ROBERTO PAYAN SAN JOSE,Colombia","(1.6968144, -78.2513396)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO FLUVIAL COMBUSTIBLES SURTIMAX,TERPEL,DESEMBOCADURA DEL RIO SAHUNDE,BIODIESEL EXTRA,"6,860",1,2017-10-06,DESEMBOCADURA DEL RIO SAHUNDE,"DESEMBOCADURA DEL RIO SAHUNDE,ROBERTO PAYAN SAN JOSE,Colombia","(1.6968144, -78.2513396)"
52,NARIÑO,52079,BARBACOAS,COMBUSTIBLES EL 15 DE AGOSTO,PETROMIL,La Ilusión Vereda Santa Rosa,BIODIESEL EXTRA,"6,810",1,2017-10-10,La Ilusión Vereda Santa Rosa,"La Ilusión Vereda Santa Rosa,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52079,BARBACOAS,COMBUSTIBLES EL 15 DE AGOSTO,PETROMIL,La Ilusión Vereda Santa Rosa,GASOLINA CORRIENTE OXIGENADA,"6,950",1,2017-10-10,La Ilusión Vereda Santa Rosa,"La Ilusión Vereda Santa Rosa,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
25,CUNDINAMARCA,25535,PASCA,ESTACION DE SERVICIO ISABELL INVERSIONES SAS,TERPEL,DIAGONAL 3 No. 4-61,GASOLINA CORRIENTE OXIGENADA,"8,610",1,2017-07-04,DIAGONAL 3 No. 4-61,"DIAGONAL 3 No. 4-61,PASCA,Colombia","(4.3067571, -74.3013587)"
25,CUNDINAMARCA,25535,PASCA,ESTACION DE SERVICIO ISABELL INVERSIONES SAS,TERPEL,DIAGONAL 3 No. 4-61,BIOACEM AL 9%,"7,834",1,2017-07-04,DIAGONAL 3 No. 4-61,"DIAGONAL 3 No. 4-61,PASCA,Colombia","(4.3067571, -74.3013587)"
25,CUNDINAMARCA,25535,PASCA,ESTACION DE SERVICIO ISABELL INVERSIONES SAS,TERPEL,DIAGONAL 3 No. 4-61,BIODIESEL EXTRA,"7,934",1,2017-07-04,DIAGONAL 3 No. 4-61,"DIAGONAL 3 No. 4-61,PASCA,Colombia","(4.3067571, -74.3013587)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO LA PERLA,TERPEL,MUELLE PRINCIPAL DE ROBERTO PAYAN,BIODIESEL EXTRA,"6,860",1,2017-10-06,MUELLE PRINCIPAL DE ROBERTO PAYAN,"MUELLE PRINCIPAL DE ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(4.570868, -74.297333)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO LA PERLA,TERPEL,MUELLE PRINCIPAL DE ROBERTO PAYAN,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-06,MUELLE PRINCIPAL DE ROBERTO PAYAN,"MUELLE PRINCIPAL DE ROBERTO PAYAN,ROBERTO PAYAN SAN JOSE,Colombia","(4.570868, -74.297333)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE GASOLINA SAN ANTONIO,BIOMAX,VEREDA SAN ANTONIO BOCAS DEL TELEMBI,GASOLINA CORRIENTE OXIGENADA,"6,800",1,2017-10-01,VEREDA SAN ANTONIO BOCAS DEL TELEMBI,"VEREDA SAN ANTONIO BOCAS DEL TELEMBI,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE GASOLINA SAN ANTONIO,BIOMAX,VEREDA SAN ANTONIO BOCAS DEL TELEMBI,BIODIESEL EXTRA,"6,700",1,2017-10-01,VEREDA SAN ANTONIO BOCAS DEL TELEMBI,"VEREDA SAN ANTONIO BOCAS DEL TELEMBI,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
25,CUNDINAMARCA,25491,NOCAIMA,EDS EL NARANJAL,BIOMAX,AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,BIODIESEL EXTRA,"7,834",1,2017-08-04,AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,"AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,NOCAIMA,Colombia","(5.0545728, -74.3996273)"
25,CUNDINAMARCA,25491,NOCAIMA,EDS EL NARANJAL,BIOMAX,AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,GASOLINA CORRIENTE OXIGENADA,"8,819",1,2017-08-04,AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,"AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,NOCAIMA,Colombia","(5.0545728, -74.3996273)"
25,CUNDINAMARCA,25491,NOCAIMA,EDS EL NARANJAL,BIOMAX,AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,BIOACEM AL 9%,"7,834",1,2017-08-04,AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,"AUTOPISTA BOGOTA - MEDELLIN LA VEGA - VILLETA KILOMETRO 9,NOCAIMA,Colombia","(5.0545728, -74.3996273)"
52,NARIÑO,52473,MOSQUERA,ESTACION DE SERVICIO VARIEDADES RAJI LTDA,BIOMAX,CALLE 2 No. 6 -05,GASOLINA CORRIENTE OXIGENADA,"7,250",1,2017-04-05,CALLE 2 No. 6 -05,"CALLE 2 No. 6 -05,MOSQUERA,Colombia","(4.7092566, -74.22622989999999)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO EL PATIA,TERPEL,RIVERA DEL RIO MAGUI,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-06,RIVERA DEL RIO MAGUI,"RIVERA DEL RIO MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO EL PATIA,TERPEL,RIVERA DEL RIO MAGUI,BIODIESEL EXTRA,"6,860",1,2017-10-06,RIVERA DEL RIO MAGUI,"RIVERA DEL RIO MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52079,BARBACOAS,COMBUSTIBLES Y LUBRICANTES BUENAVISTA,PETROMIL,LA ILUSION,BIODIESEL EXTRA,"6,810",1,2017-10-04,LA ILUSION,"LA ILUSION,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52079,BARBACOAS,COMBUSTIBLES Y LUBRICANTES BUENAVISTA,PETROMIL,LA ILUSION,GASOLINA CORRIENTE OXIGENADA,"6,950",1,2017-10-04,LA ILUSION,"LA ILUSION,BARBACOAS,Colombia","(1.5635978, -78.0195387)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO GASOLINERA EL BOSQUE,TEXACO,VEREDA LA PAMPA,GASOLINA CORRIENTE OXIGENADA,"6,650",1,2017-10-02,VEREDA LA PAMPA,"VEREDA LA PAMPA,BARBACOAS,Colombia","(2.49542, -78.39492)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO GASOLINERA EL BOSQUE,TEXACO,VEREDA LA PAMPA,BIODIESEL EXTRA,"6,500",1,2017-10-02,VEREDA LA PAMPA,"VEREDA LA PAMPA,BARBACOAS,Colombia","(2.49542, -78.39492)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO FLUVIAL COMBUSTIBLES Y LUBRICANTES JERONIMO,BIOMAX,ORILLA DEL RIO TELEMBI - BARBACOAS,GASOLINA CORRIENTE OXIGENADA,"6,700",1,2017-10-02,ORILLA DEL RIO TELEMBI - BARBACOAS,"ORILLA DEL RIO TELEMBI - BARBACOAS,BARBACOAS,Colombia","(1.503034049436271, -77.97385956950869)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO FLUVIAL COMBUSTIBLES Y LUBRICANTES JERONIMO,BIOMAX,ORILLA DEL RIO TELEMBI - BARBACOAS,BIODIESEL EXTRA,"6,600",1,2017-10-02,ORILLA DEL RIO TELEMBI - BARBACOAS,"ORILLA DEL RIO TELEMBI - BARBACOAS,BARBACOAS,Colombia","(1.503034049436271, -77.97385956950869)"
25,CUNDINAMARCA,25736,SESQUILE,ESTACION DE SERVICIO EDS EL DORADO,TEXACO,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,BIODIESEL EXTRA,"7,739",1,2017-10-02,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,"AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,SESQUILE,Colombia","(5.0445905, -73.7967966)"
25,CUNDINAMARCA,25736,SESQUILE,ESTACION DE SERVICIO EDS EL DORADO,TEXACO,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,GASOLINA EXTRA OXIGENADA,"11,999",1,2017-10-02,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,"AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,SESQUILE,Colombia","(5.0445905, -73.7967966)"
25,CUNDINAMARCA,25736,SESQUILE,ESTACION DE SERVICIO EDS EL DORADO,TEXACO,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,GASOLINA CORRIENTE OXIGENADA,"8,800",1,2017-10-02,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,"AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,SESQUILE,Colombia","(5.0445905, -73.7967966)"
25,CUNDINAMARCA,25736,SESQUILE,ESTACION DE SERVICIO EDS EL DORADO,TEXACO,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,BIOACEM AL 9%,"7,739",1,2017-10-02,AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,"AUTOPISTA NORTE KILOMETRO 43 COSTADO OCCIDENTAL,SESQUILE,Colombia","(5.0445905, -73.7967966)"
52,NARIÑO,52427,MAGUI (PAYAN),GASOLINERA BRISAS DEL MAGUI,TERPEL,SECTOR CEDROS DE MAGUI,BIODIESEL EXTRA,"6,860",1,2017-11-06,SECTOR CEDROS DE MAGUI,"SECTOR CEDROS DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),GASOLINERA BRISAS DEL MAGUI,TERPEL,SECTOR CEDROS DE MAGUI,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-11-06,SECTOR CEDROS DE MAGUI,"SECTOR CEDROS DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO SURTITELEMBI,BIOMAX,DESEMBOCADURA DEL RIO SAHUNDE LA ISLA,BIODIESEL EXTRA,"6,860",1,2017-10-03,DESEMBOCADURA DEL RIO SAHUNDE LA ISLA,"DESEMBOCADURA DEL RIO SAHUNDE LA ISLA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO SURTITELEMBI,BIOMAX,DESEMBOCADURA DEL RIO SAHUNDE LA ISLA,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-03,DESEMBOCADURA DEL RIO SAHUNDE LA ISLA,"DESEMBOCADURA DEL RIO SAHUNDE LA ISLA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVIICO NUEVA OLA,BIOMAX,VEREDA BOCAS DE MAGUI,BIODIESEL EXTRA,"6,800",1,2017-10-30,VEREDA BOCAS DE MAGUI,"VEREDA BOCAS DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVIICO NUEVA OLA,BIOMAX,VEREDA BOCAS DE MAGUI,GASOLINA CORRIENTE OXIGENADA,"6,700",1,2017-10-30,VEREDA BOCAS DE MAGUI,"VEREDA BOCAS DE MAGUI,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO GASOLINERA RANCHO GRANDE,BIOMAX,CALLE PRINCIPAL,GASOLINA CORRIENTE OXIGENADA,"7,000",1,2017-10-01,CALLE PRINCIPAL,"CALLE PRINCIPAL,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52427,MAGUI (PAYAN),ESTACION DE SERVICIO GASOLINERA RANCHO GRANDE,BIOMAX,CALLE PRINCIPAL,BIODIESEL EXTRA,"6,860",1,2017-10-01,CALLE PRINCIPAL,"CALLE PRINCIPAL,MAGUI (PAYAN),Colombia","(1.7658466, -78.1838239)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO 29 DE AGOSTO,BIOMAX,BARRIO EL PARAISO,GASOLINA CORRIENTE OXIGENADA,"6,500",1,2017-10-11,BARRIO EL PARAISO,"BARRIO EL PARAISO,BARBACOAS,Colombia","(1.674177, -78.1334037)"
52,NARIÑO,52079,BARBACOAS,ESTACION DE SERVICIO 29 DE AGOSTO,BIOMAX,BARRIO EL PARAISO,BIODIESEL EXTRA,"6,500",1,2017-10-11,BARRIO EL PARAISO,"BARRIO EL PARAISO,BARBACOAS,Colombia","(1.674177, -78.1334037)"
52,NARIÑO,52490,OLAYA HERRERA (BOCAS DE SATINGA),ESTACION DE SERVICIO DEPOSITO CAICEDO,BIOMAX,VEREDA LA LOMA,BIODIESEL EXTRA,"6,223",1,2017-06-01,VEREDA LA LOMA,"VEREDA LA LOMA,OLAYA HERRERA (BOCAS DE SATINGA),Colombia","(2.3485311, -78.32621089999999)"
52,NARIÑO,52490,OLAYA HERRERA (BOCAS DE SATINGA),ESTACION DE SERVICIO DEPOSITO CAICEDO,BIOMAX,VEREDA LA LOMA,GASOLINA CORRIENTE,"6,138",1,2017-06-01,VEREDA LA LOMA,"VEREDA LA LOMA,OLAYA HERRERA (BOCAS DE SATINGA),Colombia","(2.3485311, -78.32621089999999)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO GASOLINERA EL PUEBLO DE PAYAN,PETROMIL,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,500",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO GASOLINERA EL PUEBLO DE PAYAN,PETROMIL,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,500",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO COMBUSTIBLES LA BONANZA,TEXACO,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,600",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
52,NARIÑO,52621,ROBERTO PAYAN SAN JOSE,ESTACION DE SERVICIO COMBUSTIBLES LA BONANZA,TEXACO,VEREDA LOMA LINDA,BIODIESEL EXTRA,"6,600",1,2017-10-02,VEREDA LOMA LINDA,"VEREDA LOMA LINDA,ROBERTO PAYAN SAN JOSE,Colombia","(1.718516, -78.25312)"
